Family	Name with authors (incl. infraspecific taxa if any)	ALA accepted name with authors	AKflora?	Comments (optional)	Literature
Betulaceae	Alnus viridis (Vill.) DC. subsp. fruticosa (Rupr.) Nyman	Alnus viridis (Vill.) DC. subsp. fruticosa (Rupr.) Nyman	T		
Betulaceae	Alnus viridis (Vill.) DC. subsp. sinuata (Regel) A.Love & D.Love	Alnus viridis (Vill.) DC. subsp. sinuata (Regel) A.Love & D.Love	T		
Poaceae	Alopecurus aequalis Sobol.	Alopecurus aequalis Sobol.	F	AK taxon list	
Poaceae	Alopecurus alpinus Sm.	Alopecurus alpinus Sm.	F	AK taxon list	
Poaceae	Alopecurus alpinus Sm. subsp. alpinus 	Alopecurus alpinus Sm. subsp. alpinus 	F	AK taxon list	
Poaceae	Alopecurus alpinus Sm. subsp. glaucus (Less.) Hult始	Alopecurus alpinus Sm. subsp. glaucus (Less.) Hult始	F	AK taxon list	
Poaceae	Alopecurus alpinus Sm. subsp. stejnegeri (Vasey) Hult始	Alopecurus alpinus Sm. subsp. stejnegeri (Vasey) Hult始	F	AK taxon list	
Poaceae	Alopecurus borealis Trin.	Alopecurus alpinus Sm.	F	Hult始 1968	Hult始 1968; Hult始, Eric.  1968.  Flora of Alaska and Neighboring Territories.  Stanford Univ. Press, Stanford, CA.  1008 pp./
Poaceae	Alopecurus geniculatus L.	Alopecurus geniculatus L.	F	AK taxon list	
Poaceae	Alopecurus pratensis L.	Alopecurus pratensis L.	F	AK taxon list	
Betulaceae	Alnaster fruticosa Rupr.	Alnus viridis (Vill.) DC. subsp. fruticosa (Rupr.) Nyman	T		FNA 3; Flora of North America volume 3/
Betulaceae	Alnaster sinuata (Regel) Czerep.	Alnus viridis (Vill.) DC. subsp. sinuata (Regel) A.Love & D.Love	T		FNA 3; Flora of North America volume 3/
Brassicaceae	Alyssum americanum Greene	Alyssum obovatum (C.A.Mey.) Turcz.	T		FNA vol. 7; /
Brassicaceae	Alyssum biovulatum N.Busch	Alyssum obovatum (C.A.Mey.) Turcz.	T		FNA vol. 7; /
Brassicaceae	Alyssum obovatum (C.A.Mey.) Turcz.	Alyssum obovatum (C.A.Mey.) Turcz.	T		FNA vol. 7; /
Amaranthaceae	Amaranthus albus L.	Amaranthus albus L.	T		FNA 4; Flora of North America volume 4/
Amaranthaceae	Amaranthus blitoides S.Watson	Amaranthus blitoides S.Watson	T		FNA 4; Flora of North America volume 4/
Amaranthaceae	Amaranthus graecizans auct.	Amaranthus blitoides S.Watson	T		FNA 4; Flora of North America volume 4/
Amaranthaceae	Amaranthus retroflexus L.	Amaranthus retroflexus L.	T	AK taxon list	
